OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,City,State,Region,Country,ProductID,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,PaymentMethod,ReturnStatus,ManagerEmail
ORD-20220298,2022-01-04,2022-01-07,Same Day,CUST-1088,Fatima Brown,Delhi,DL,North,India,PRD-102,5,1229.5,0.1,5532.75,4750.0,782.75,UPI,Delivered,north.manager@ysm.com
ORD-20220049,2022-01-05,2022-01-06,Standard Class,CUST-1047,Valued Customer,Mumbai,MH,West,India,PRD-109,3,102.57,0.2,246.17,195.0,51.17,Credit Card,In Transit,west.manager@ysm.com
ORD-20220314,2022-01-09,2022-01-11,Second Class,CUST-1079,Ananya Anderson,San Francisco,CA,US-West,USA,PRD-104,10,73.61,0.0,736.1,600.0,136.1,Cash on Delivery,Delivered,us.manager@ysm.com
ORD-20220053,2022-01-13,2022-01-15,First Class,CUST-1037,Aarav Anderson,New York,NY,US-East,USA,PRD-102,7,1437.31,0.05,9558.11,6650.0,2908.11,UPI,Delivered,us.manager@ysm.com
ORD-20220080,2022-01-14,2022-01-18,Standard Class,CUST-1089,Rahul Gupta,Delhi,DL,North,India,PRD-115,7,43.18,0.05,287.15,245.0,42.15,Cash on Delivery,Delivered,north.manager@ysm.com
ORD-20220116,2022-01-14,2022-01-15,Second Class,CUST-1024,David Gupta,Bengaluru,KA,South,India,PRD-112,10,443.73,0.2,3549.84,2800.0,749.84,Credit Card,In Transit,south.manager@ysm.com
ORD-20220259,2022-01-16,2022-01-20,First Class,CUST-1075,Aarav Jones,Chicago,IL,US-Central,USA,PRD-112,5,407.89,0.15,1733.53,1400.0,333.53,Debit Card,In Transit,us.manager@ysm.com
ORD-20220111,2022-01-17,2022-01-19,First Class,CUST-1090,Emily Taylor,Bengaluru,KA,South,India,PRD-108,8,111.21,0.0,889.68,600.0,289.68,Debit Card,Delivered,south.manager@ysm.com
ORD-20220051,2022-01-21,2022-01-24,Second Class,CUST-1025,Fatima Wilson,Berlin,BER,Europe,Germany,PRD-104,2,88.37,0.1,159.07,120.0,39.07,Net Banking,In Transit,europe.manager@ysm.com
ORD-20220286,2022-01-22,2022-01-25,Standard Class,CUST-1065,Amit Verma,Berlin,BER,Europe,Germany,PRD-107,8,508.65,0.1,3662.28,3040.0,622.28,Cash on Delivery,Delivered,europe.manager@ysm.com
ORD-20220190,2022-01-22,2022-01-26,Standard Class,CUST-1090,Emily Taylor,Bengaluru,KA,South,India,PRD-101,2,1176.32,0.1,2117.38,1700.0,417.38,Net Banking,Delivered,south.manager@ysm.com
ORD-20220269,2022-01-24,2022-01-28,Standard Class,CUST-1097,Valued Customer,Mumbai,MH,West,India,PRD-107,4,542.68,0.1,1953.65,1520.0,433.65,Net Banking,Delivered,west.manager@ysm.com
ORD-20220258,2022-01-24,2022-01-30,First Class,CUST-1006,Fatima Brown,New York,NY,US-East,USA,PRD-103,10,1168.36,0.15,9931.06,8000.0,1931.06,Net Banking,Returned,us.manager@ysm.com
ORD-20220016,2022-01-25,2022-01-26,Second Class,CUST-1033,Neha Jones,Berlin,BER,Europe,Germany,PRD-103,7,1160.78,0.2,6500.37,5600.0,900.37,Credit Card,Delivered,europe.manager@ysm.com
ORD-20220037,2022-01-26,2022-01-31,Same Day,CUST-1095,Valued Customer,Mumbai,MH,West,India,PRD-113,9,630.51,0.05,5390.86,4050.0,1340.86,Credit Card,Delivered,west.manager@ysm.com
ORD-20220081,2022-01-26,2022-01-29,Same Day,CUST-1024,David Gupta,Bengaluru,KA,South,India,PRD-110,8,199.64,0.1,1437.41,1200.0,237.41,UPI,In Transit,south.manager@ysm.com
ORD-20220033,2022-01-26,2022-02-01,Standard Class,CUST-1091,Valued Customer,Mumbai,MH,West,India,PRD-107,4,603.29,0.05,2292.5,1520.0,772.5,Cash on Delivery,Delivered,west.manager@ysm.com
ORD-20220047,2022-01-27,2022-01-28,Same Day,CUST-1029,Sarah Anderson,Ahmedabad,GJ,West,India,PRD-111,1,336.98,0.0,336.98,220.0,116.98,UPI,In Transit,west.manager@ysm.com
ORD-20220176,2022-01-27,2022-01-30,First Class,CUST-1043,Valued Customer,Mumbai,MH,West,India,PRD-109,10,87.14,0.2,697.12,650.0,47.12,Debit Card,Delivered,west.manager@ysm.com
ORD-20220012,2022-01-29,2022-01-31,Standard Class,CUST-1015,Ananya Patel,Dubai,DXB,Asia-Pac,UAE,PRD-108,7,114.15,0.1,719.14,525.0,194.14,Credit Card,Delivered,apac.manager@ysm.com
ORD-20220026,2022-02-02,2022-02-05,Standard Class,CUST-1009,Valued Customer,Ahmedabad,GJ,West,India,PRD-103,4,1148.26,0.2,3674.43,3200.0,474.43,Debit Card,Delivered,west.manager@ysm.com
ORD-20220169,2022-02-03,2022-02-05,First Class,CUST-1005,Kavita Sharma,Chennai,TN,South,India,PRD-108,10,108.73,0.2,869.84,750.0,119.84,UPI,Delivered,south.manager@ysm.com
ORD-20220241,2022-02-04,2022-02-06,First Class,CUST-1097,Valued Customer,Mumbai,MH,West,India,PRD-109,10,87.42,0.0,874.2,650.0,224.2,Net Banking,Delivered,west.manager@ysm.com
ORD-20220309,2022-02-05,2022-02-09,Standard Class,CUST-1057,Valued Customer,Mumbai,MH,West,India,PRD-113,3,591.68,0.05,1686.29,1350.0,336.29,Cash on Delivery,Delivered,west.manager@ysm.com
ORD-20220043,2022-02-05,2022-02-07,First Class,CUST-1030,Kavita Jones,Kolkata,WB,East,India,PRD-107,8,499.32,0.2,3195.65,3040.0,155.65,UPI,Delivered,east.manager@ysm.com
ORD-20220128,2022-02-05,2022-02-08,Same Day,CUST-1048,Valued Customer,Mumbai,MH,West,India,PRD-107,9,507.66,0.1,4112.05,3420.0,692.05,Credit Card,Delivered,west.manager@ysm.com
ORD-20220027,2022-02-06,2022-02-12,Standard Class,CUST-1034,Rohan Davis,San Francisco,CA,US-West,USA,PRD-106,1,309.98,0.1,278.98,240.0,38.98,Credit Card,Delivered,us.manager@ysm.com
ORD-20220199,2022-02-07,2022-02-10,Same Day,CUST-1018,Rohan Patel,London,LDN,Europe,UK,PRD-110,1,207.11,0.1,186.4,150.0,36.4,UPI,Delivered,europe.manager@ysm.com
ORD-20220246,2022-02-07,2022-02-11,Second Class,CUST-1098,Sneha Williams,Dubai,DXB,Asia-Pac,UAE,PRD-104,8,93.57,0.0,748.56,480.0,268.56,UPI,Returned,apac.manager@ysm.com
ORD-20220270,2022-02-07,2022-02-11,Same Day,CUST-1067,Jessica Davis,Bengaluru,KA,South,India,PRD-112,5,421.61,0.2,1686.44,1400.0,286.44,Net Banking,Delivered,south.manager@ysm.com
ORD-20220334,2022-02-08,2022-02-14,Standard Class,CUST-1070,Pooja Taylor,Delhi,DL,North,India,PRD-101,7,1279.88,0.05,8511.2,5950.0,2561.2,Debit Card,Delivered,north.manager@ysm.com
ORD-20220222,2022-02-10,2022-02-11,First Class,CUST-1015,Ananya Patel,Dubai,DXB,Asia-Pac,UAE,PRD-106,3,308.7,0.2,740.88,720.0,20.88,Net Banking,Delivered,apac.manager@ysm.com
ORD-20220007,2022-02-10,2022-02-15,First Class,CUST-1091,Valued Customer,Mumbai,MH,West,India,PRD-115,10,53.61,0.1,482.49,350.0,132.49,Net Banking,Delivered,west.manager@ysm.com
ORD-20220323,2022-02-10,2022-02-14,First Class,CUST-1058,Valued Customer,Mumbai,MH,West,India,PRD-102,4,1175.14,0.0,4700.56,3800.0,900.56,UPI,Delivered,west.manager@ysm.com
ORD-20220140,2022-02-10,2022-02-15,Same Day,CUST-1091,Valued Customer,Mumbai,MH,West,India,PRD-104,4,86.87,0.15,295.36,240.0,55.36,Net Banking,Delivered,west.manager@ysm.com
ORD-20220038,2022-02-11,2022-02-13,Standard Class,CUST-1050,Valued Customer,Mumbai,MH,West,India,PRD-104,4,86.28,0.15,293.35,240.0,53.35,Credit Card,Delivered,west.manager@ysm.com
ORD-20220174,2022-02-13,2022-02-14,Same Day,CUST-1099,Pooja Kapoor,Chandigarh,CH,North,India,PRD-114,6,136.25,0.05,776.62,660.0,116.62,Net Banking,Delivered,north.manager@ysm.com
ORD-20220297,2022-02-14,2022-02-18,Standard Class,CUST-1008,John Iyer,Chennai,TN,South,India,PRD-105,3,89.17,0.15,227.38,210.0,17.38,UPI,Delivered,south.manager@ysm.com
ORD-20220121,2022-02-15,2022-02-18,First Class,CUST-1041,Valued Customer,Mumbai,MH,West,India,PRD-106,7,319.03,0.2,1786.57,1680.0,106.57,Credit Card,Returned,west.manager@ysm.com
ORD-20220137,2022-02-16,2022-02-20,Standard Class,CUST-1076,Rahul Wilson,San Francisco,CA,US-West,USA,PRD-112,2,421.16,0.15,715.97,560.0,155.97,Debit Card,Returned,us.manager@ysm.com
ORD-20220133,2022-02-21,2022-02-25,Standard Class,CUST-1003,Fatima Patel,Ahmedabad,GJ,West,India,PRD-113,8,634.67,0.0,5077.36,3600.0,1477.36,Debit Card,Delivered,west.manager@ysm.com
ORD-20220009,2022-02-21,2022-02-25,First Class,CUST-1018,Rohan Patel,London,LDN,Europe,UK,PRD-102,6,1312.3,0.05,7480.11,5700.0,1780.11,UPI,Delivered,europe.manager@ysm.com
ORD-20220289,2022-02-21,2022-02-25,First Class,CUST-1064,Fatima Miller,Chennai,TN,South,India,PRD-104,2,89.22,0.05,169.52,120.0,49.52,Credit Card,Delivered,south.manager@ysm.com
ORD-20220237,2022-02-22,2022-02-23,First Class,CUST-1073,John Khan,Ahmedabad,GJ,West,India,PRD-108,5,109.83,0.15,466.78,375.0,91.78,Net Banking,Returned,west.manager@ysm.com
ORD-20220002,2022-02-22,2022-02-28,Standard Class,CUST-1016,Michael Iyer,London,MH,Europe,UK,PRD-114,1,157.98,0.0,157.98,110.0,47.98,Credit Card,Delivered,europe.manager@ysm.com
ORD-20220217,2022-02-22,2022-02-28,Standard Class,CUST-1088,Fatima Brown,Delhi,DL,North,India,PRD-111,3,289.09,0.1,780.54,660.0,120.54,Cash on Delivery,Delivered,north.manager@ysm.com
ORD-20220168,2022-02-25,2022-03-01,Same Day,CUST-1089,Rahul Gupta,Delhi,DL,North,India,PRD-109,2,79.91,0.1,143.84,130.0,13.84,Net Banking,Delivered,north.manager@ysm.com
ORD-20220279,2022-02-26,2022-02-28,Standard Class,CUST-1063,David Reddy,Berlin,BER,Europe,Germany,PRD-102,7,1307.59,0.05,8695.47,6650.0,2045.47,Cash on Delivery,Returned,europe.manager@ysm.com
ORD-20220304,2022-02-27,2022-02-28,Second Class,CUST-1023,John Kapoor,New York,NY,US-East,USA,PRD-110,3,214.36,0.05,610.93,450.0,160.93,UPI,In Transit,us.manager@ysm.com
ORD-20220086,2022-02-28,2022-03-02,First Class,CUST-1028,Priya Singh,London,LDN,Europe,UK,PRD-111,1,273.51,0.1,246.16,220.0,26.16,Net Banking,Returned,europe.manager@ysm.com
