OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,City,State,Region,Country,ProductID,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,PaymentMethod,ReturnStatus,ManagerEmail
ORD-20230300,2023-01-03,2023-01-06,Second Class,CUST-1075,Aarav Jones,Chicago,IL,US-Central,USA,PRD-111,2,299.83,0.2,479.73,440.0,39.73,Credit Card,Delivered,us.manager@ysm.com
ORD-20230269,2023-01-04,2023-01-09,Second Class,CUST-1053,Valued Customer,Mumbai,MH,West,India,PRD-114,4,151.36,0.0,605.44,440.0,165.44,Net Banking,Returned,west.manager@ysm.com
ORD-20230319,2023-01-05,2023-01-07,Same Day,CUST-1095,Valued Customer,Mumbai,MH,West,India,PRD-108,9,104.99,0.2,755.93,675.0,80.93,UPI,In Transit,west.manager@ysm.com
ORD-20230159,2023-01-05,2023-01-07,First Class,CUST-1089,Rahul Gupta,Delhi,DL,North,India,PRD-107,5,548.47,0.1,2468.11,1900.0,568.11,Cash on Delivery,Delivered,north.manager@ysm.com
ORD-20230305,2023-01-05,2023-01-11,First Class,CUST-1047,Valued Customer,Mumbai,MH,West,India,PRD-105,2,90.95,0.15,154.62,140.0,14.62,UPI,Delivered,west.manager@ysm.com
ORD-20230190,2023-01-07,2023-01-13,Standard Class,CUST-1004,Aarav Patel,Chennai,TN,South,India,PRD-106,10,375.06,0.15,3188.01,2400.0,788.01,Debit Card,Delivered,south.manager@ysm.com
ORD-20230081,2023-01-07,2023-01-09,Standard Class,CUST-1072,Alex Smith,Chennai,TN,South,India,PRD-106,7,333.29,0.05,2216.38,1680.0,536.38,Debit Card,In Transit,south.manager@ysm.com
ORD-20230222,2023-01-07,2023-01-12,Standard Class,CUST-1065,Amit Verma,Berlin,BER,Europe,Germany,PRD-108,3,90.76,0.0,272.28,225.0,47.28,Credit Card,Delivered,europe.manager@ysm.com
ORD-20230070,2023-01-08,2023-01-11,Second Class,CUST-1080,Fatima Reddy,Mumbai,MH,West,India,PRD-114,1,133.75,0.15,113.69,110.0,3.69,Net Banking,Delivered,west.manager@ysm.com
ORD-20230347,2023-01-08,2023-01-12,Second Class,,Rohan Smith,Kolkata,WB,West,India,PRD-105,5,93.57,0.15,397.67,350.0,47.67,UPI,Delivered,west.manager@ysm.com
ORD-20230243,2023-01-09,2023-01-13,Standard Class,CUST-1086,Rohan Verma,Chandigarh,CH,North,India,PRD-110,10,212.09,0.0,2120.9,1500.0,620.9,Net Banking,Delivered,north.manager@ysm.com
ORD-20230107,2023-01-10,2023-01-14,First Class,CUST-1100,Pooja Khan,London,LDN,Europe,UK,PRD-102,8,1322.28,0.1,9520.42,7600.0,1920.42,Net Banking,Delivered,europe.manager@ysm.com
ORD-20230158,2023-01-11,2023-01-17,Standard Class,CUST-1064,Fatima Miller,Chennai,TN,South,India,PRD-103,3,1111.71,0.05,3168.37,2400.0,768.37,Net Banking,In Transit,south.manager@ysm.com
ORD-20230112,2023-01-15,2023-01-21,First Class,CUST-1045,Valued Customer,Mumbai,MH,West,India,PRD-105,10,110.53,0.05,1050.03,700.0,350.03,Net Banking,Delivered,west.manager@ysm.com
ORD-20230043,2023-01-17,2023-01-21,First Class,CUST-1024,David Gupta,Bengaluru,KA,South,India,PRD-107,2,508.98,0.15,865.27,760.0,105.27,Credit Card,In Transit,south.manager@ysm.com
ORD-20230082,2023-01-19,2023-01-24,Same Day,CUST-1033,Neha Jones,Berlin,BER,Europe,Germany,PRD-106,4,309.55,0.15,1052.47,960.0,92.47,UPI,Delivered,europe.manager@ysm.com
ORD-20230293,2023-01-20,2023-01-26,Same Day,CUST-1028,Priya Singh,London,LDN,Europe,UK,PRD-111,7,345.9,0.2,1937.04,1540.0,397.04,Net Banking,Delivered,europe.manager@ysm.com
ORD-20230042,2023-01-22,2023-01-28,Same Day,CUST-1001,Sneha Sharma,Kolkata,WB,East,India,PRD-113,7,638.34,0.0,4468.38,3150.0,1318.38,Debit Card,Delivered,east.manager@ysm.com
ORD-20230090,2023-01-23,2023-01-25,Same Day,CUST-1093,Valued Customer,Mumbai,MH,West,India,PRD-101,6,1258.29,0.15,6417.28,5100.0,1317.28,Credit Card,Delivered,west.manager@ysm.com
ORD-20230026,2023-01-23,2023-01-29,Standard Class,CUST-1051,Valued Customer,Mumbai,MH,West,India,PRD-112,6,338.53,0.0,2031.18,1680.0,351.18,Debit Card,Returned,west.manager@ysm.com
ORD-20230179,2023-01-24,2023-01-27,First Class,,Rohan Smith,Kolkata,WB,West,India,PRD-102,9,1313.25,0.2,9455.4,8550.0,905.4,Net Banking,Delivered,west.manager@ysm.com
ORD-20230172,2023-01-28,2023-01-30,Second Class,CUST-1050,Valued Customer,Mumbai,MH,West,India,PRD-112,6,447.14,0.15,2280.41,1680.0,600.41,Net Banking,Delivered,west.manager@ysm.com
ORD-20230197,2023-01-31,2023-02-02,Standard Class,CUST-1017,Emily Deshmukh,Chandigarh,CH,North,India,PRD-105,10,95.65,0.15,813.02,700.0,113.02,Net Banking,Returned,north.manager@ysm.com
ORD-20230092,2023-02-01,2023-02-05,Second Class,CUST-1050,Valued Customer,Mumbai,MH,West,India,PRD-111,5,284.84,0.1,1281.78,1100.0,181.78,Cash on Delivery,Returned,west.manager@ysm.com
ORD-20230100,2023-02-01,2023-02-03,Second Class,CUST-1075,Aarav Jones,Chicago,IL,US-Central,USA,PRD-110,7,191.89,0.1,1208.91,1050.0,158.91,Credit Card,Delivered,us.manager@ysm.com
ORD-20230124,2023-02-04,2023-02-07,First Class,CUST-1046,Valued Customer,Mumbai,MH,West,India,PRD-112,1,424.15,0.0,424.15,280.0,144.15,Cash on Delivery,Delivered,west.manager@ysm.com
ORD-20230253,2023-02-05,2023-02-07,First Class,CUST-1040,Valued Customer,Mumbai,MH,West,India,PRD-109,6,90.63,0.2,435.02,390.0,45.02,UPI,Returned,west.manager@ysm.com
ORD-20230002,2023-02-07,2023-02-08,First Class,CUST-1029,Sarah Anderson,Ahmedabad,GJ,West,India,PRD-112,3,353.27,0.15,900.84,840.0,60.84,UPI,Delivered,west.manager@ysm.com
ORD-20230128,2023-02-08,2023-02-13,Standard Class,CUST-1041,Valued Customer,Mumbai,MH,West,India,PRD-110,10,200.28,0.15,1702.38,1500.0,202.38,Credit Card,Delivered,west.manager@ysm.com
ORD-20230083,2023-02-09,2023-02-14,First Class,CUST-1099,Pooja Kapoor,Chandigarh,CH,North,India,PRD-102,1,1185.37,0.05,1126.1,950.0,176.1,Debit Card,In Transit,north.manager@ysm.com
ORD-20230309,2023-02-10,2023-02-16,Same Day,CUST-1017,Emily Deshmukh,Chandigarh,CH,North,India,PRD-109,9,93.96,0.0,845.64,585.0,260.64,Cash on Delivery,Delivered,north.manager@ysm.com
ORD-20230342,2023-02-10,2023-02-14,Second Class,CUST-1018,Rohan Patel,London,LDN,Europe,UK,PRD-109,10,91.43,0.1,822.87,650.0,172.87,UPI,Returned,europe.manager@ysm.com
ORD-20230065,2023-02-13,2023-02-15,First Class,CUST-1059,Fatima Sharma,Singapore,SG,Asia-Pac,Singapore,PRD-103,1,1209.27,0.1,1088.34,800.0,288.34,Debit Card,Delivered,apac.manager@ysm.com
ORD-20230085,2023-02-14,2023-02-19,Same Day,CUST-1083,John Kapoor,London,LDN,Europe,UK,PRD-109,4,78.21,0.1,281.56,260.0,21.56,Net Banking,In Transit,europe.manager@ysm.com
ORD-20230245,2023-02-14,2023-02-17,Same Day,CUST-1043,Valued Customer,Mumbai,MH,West,India,PRD-109,1,87.92,0.15,74.73,65.0,9.73,Debit Card,Delivered,west.manager@ysm.com
